Fournisseur,Code,Prix,Durée,Début,Fin,Catégorie,Zone,Camp Mina,Capacité,Places restantes (pas à jour),Date d'ajout,Nombre de guides, pélerins par guide,lien Nusuk
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,Luxury Shifting Line 28,32322.37,16,2024-06-05,2024-06-21,Luxury - Shifting,Zone A,AlMuaisim Camp,94,92,2024-02-14T15:35:04.2893572,2,48,https://hajj.nusuk.sa/sp/package/summary/90500000-56b2-0050-eaee-08dc2d7283f0
Ithraa alkhair for pilgrims services,Ithraa Al Khair 45,32365.6,18,2024-06-07,2024-06-25,Standard,Zone C,AlMuaisim Camp,116,114,2024-02-15T17:41:11.5232981,2,100,https://hajj.nusuk.sa/sp/package/summary/0c3e0000-56b2-0050-eec9-08dc2e4d4cc6
MCDC For Hajj And Umrah servises,MCDC4000SHQ,32444.46,14,2024-06-07,2024-06-21,Standard,Zone A,AlMuaisim Camp,296,290,2024-02-16T14:53:21.558021,6,50,https://hajj.nusuk.sa/sp/package/summary/60060000-56b2-0050-ec30-08dc2eff0505
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,2 Luxury shifting Line 26,32453.2,16,2024-06-05,2024-06-21,Luxury - Shifting,Zone A,AlMuaisim Camp,82,80,2024-02-24T05:16:46.4269884,2,48,https://hajj.nusuk.sa/sp/package/summary/805a0000-56b2-0050-da38-08dc34f7cc05
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,2Luxury Shifting 23,32453.2,16,2024-06-05,2024-06-21,Luxury - Shifting,Zone A,AlMuaisim Camp,17,16,2024-02-17T21:38:00.9588453,1,17,https://hajj.nusuk.sa/sp/package/summary/ec530000-56b2-0050-3ad8-08dc3000b716
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,Luxury Shifting Line 25,32453.2,16,2024-06-05,2024-06-21,Luxury - Shifting,Zone A,AlMuaisim Camp,98,96,2024-02-14T15:21:02.3019089,2,49,https://hajj.nusuk.sa/sp/package/summary/14220000-56b2-0050-d44d-08dc2d708e13
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,Luxury Shifting Line 26,32453.2,16,2024-06-05,2024-06-21,Luxury - Shifting,Zone A,AlMuaisim Camp,148,145,2024-02-14T15:26:26.1594919,3,50,https://hajj.nusuk.sa/sp/package/summary/90500000-56b2-0050-931b-08dc2d714f1c
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,Luxury shifting Line 23,32453.2,16,2024-06-05,2024-06-21,Luxury - Shifting,Zone A,AlMuaisim Camp,79,78,2024-02-16T09:50:15.7778433,1,79,https://hajj.nusuk.sa/sp/package/summary/7c220000-56b2-0050-15fc-08dc2ed4ad74
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,Luxury shifting Line 24,32453.2,16,2024-06-05,2024-06-21,Luxury - Shifting,Zone A,AlMuaisim Camp,144,141,2024-02-23T15:25:57.0408605,3,48,https://hajj.nusuk.sa/sp/package/summary/38780000-56b2-0050-2c7b-08dc3483bb79
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,Luxury shifting Line 6,32666.62,18,2024-06-09,2024-06-27,Luxury - Shifting,Zone A,AlMuaisim Camp,133,130,2024-02-23T01:36:27.7046488,3,48,https://hajj.nusuk.sa/sp/package/summary/98690000-56b2-0050-24c5-08dc340fdaa3
Ithraa alkhair for pilgrims services,Ithraa Al Khair 38,32736.69,20,2024-06-02,2024-06-22,Standard,Zone C,AlMuaisim Camp,80,79,2024-02-10T13:55:57.0753941,1,80,https://hajj.nusuk.sa/sp/package/summary/548a0000-56b2-0050-1582-08dc2a400179
Rawaf Mina Company for Pilgrimage Services,RAWAF  HOLIDAY INN  392,32811.47,18,2024-06-10,2024-06-28,Standard,None,AlMuaisim Camp,264,258,2024-02-28T16:25:53.4079506,6,50,https://hajj.nusuk.sa/sp/package/summary/28460000-56b2-0050-fdf3-08dc3879ef23
Rawaf Mina Company for Pilgrimage Services,RAWAF TRIPLE   HOLIDAY INN 378,32811.47,19,2024-06-05,2024-06-24,Standard,None,AlMuaisim Camp,60,59,2024-02-28T15:19:19.7882479,1,60,https://hajj.nusuk.sa/sp/package/summary/08290000-56b2-0050-fc51-08dc3870a2c1
Rawaf Mina Company for Pilgrimage Services,RAWAF TRIPLE  HOLIDAY INN  251,32811.47,17,2024-06-06,2024-06-23,Premium,None,AlMuaisim Camp,75,74,2024-02-28T15:27:12.9086767,1,75,https://hajj.nusuk.sa/sp/package/summary/70040000-56b2-0050-6f24-08dc3871bcc2
Rawaf Mina Company for Pilgrimage Services,RAWAF TRIPLE  HOLIDAY INN  252,32811.47,18,2024-06-09,2024-06-27,Premium,None,AlMuaisim Camp,75,74,2024-02-28T15:33:28.0013177,1,75,https://hajj.nusuk.sa/sp/package/summary/ac390000-56b2-0050-0767-08dc38729c55
Rawaf Mina Company for Pilgrimage Services,RAWAF TRIPLE  HOLIDAY INN 379,32811.47,15,2024-06-08,2024-06-23,Standard,None,AlMuaisim Camp,60,59,2024-02-28T15:22:02.3849263,1,60,https://hajj.nusuk.sa/sp/package/summary/3c3d0000-56b2-0050-451e-08dc387103ac
Al Bait Guests for Pilgrims Services,B5000 Premium Shifting Extended,32820.45,17,2024-06-11,2024-06-28,Premium - Shifting,Zone A,AlMuaisim Camp,320,313,2024-02-19T15:20:26.6475213,7,46,https://hajj.nusuk.sa/sp/package/summary/88980000-56b2-0050-26b6-08dc315e4ce4
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,2Luxury shifting line 6,32859.79,18,2024-06-09,2024-06-27,Luxury - Shifting,Zone A,AlMuaisim Camp,70,68,2024-02-23T14:04:01.9226099,2,48,https://hajj.nusuk.sa/sp/package/summary/607b0000-56b2-0050-a5f1-08dc347849d5
MCDC For Hajj And Umrah servises,MCDC1112AZ,32944.1,13,2024-06-07,2024-06-20,Luxury,Zone A,AlMuaisim Camp,48,47,2024-02-18T01:26:32.0493913,1,48,https://hajj.nusuk.sa/sp/package/summary/10130000-56b2-0050-9d43-08dc3020a388
Al Bait Guests for Pilgrims Services,A11000 Luxury Shifting Classic,32950.05,18,2024-06-04,2024-06-22,Luxury - Shifting,Zone A,AlMuaisim Camp,150,147,2024-02-27T01:26:40.5344894,3,50,https://hajj.nusuk.sa/sp/package/summary/ac3e0000-56b2-0050-1672-08dc3733264f
Al Bait Guests for Pilgrims Services,A18000 Luxury Shifting Extended,32950.06,20,2024-06-11,2024-07-01,Luxury - Shifting,Zone A,AlMuaisim Camp,149,146,2024-02-26T23:30:13.5681877,3,50,https://hajj.nusuk.sa/sp/package/summary/d0380000-56b2-0050-a342-08dc3722e1c0
Al Bait Guests for Pilgrims Services,A7000 Luxury Shifting Extended,32950.06,22,2024-05-29,2024-06-20,Luxury - Shifting,Zone A,AlMuaisim Camp,240,234,2024-02-24T16:42:24.844527,6,46,https://hajj.nusuk.sa/sp/package/summary/a86c0000-56b2-0050-3541-08dc3557946e
Al Bait Guests for Pilgrims Services,A8000 Premium Shifting Classic,32950.1,16,2024-06-10,2024-06-26,Premium - Shifting,Zone A,AlMuaisim Camp,100,98,2024-02-26T13:03:22.6165636,2,50,https://hajj.nusuk.sa/sp/package/summary/44200000-56b2-0050-dd76-08dc36cb4fe0
Al Bait Guests for Pilgrims Services,A16000 Premium Shifting Extended,32950.47,16,2024-06-10,2024-06-26,Premium - Shifting,Zone A,AlMuaisim Camp,255,249,2024-02-19T16:21:11.5748889,6,46,https://hajj.nusuk.sa/sp/package/summary/b0830000-56b2-0050-ee16-08dc3166c96f
Al Bait Guests for Pilgrims Services,B7000 Premium Shifting Extended,32954.09,19,2024-06-11,2024-06-30,Premium - Shifting,Zone A,AlMuaisim Camp,320,313,2024-02-15T00:32:15.4073251,7,46,https://hajj.nusuk.sa/sp/package/summary/3c060000-56b2-0050-389f-08dc2dbd8f2f
Rawaf Mina Company for Pilgrimage Services,RAWAF VOCO 201,32980.94,24,2024-06-02,2024-06-26,Premium,Zone C,AlMuaisim Camp,12,11,2024-02-18T10:45:36.4938128,1,12,https://hajj.nusuk.sa/sp/package/summary/bc950000-56b2-0050-a17d-08dc306ebd94
Rawaf Mina Company for Pilgrimage Services,RAWAF VOCO 202,32980.94,17,2024-06-06,2024-06-23,Premium,Zone C,AlMuaisim Camp,172,168,2024-02-25T20:41:14.1443219,4,46,https://hajj.nusuk.sa/sp/package/summary/e4370000-56b2-0050-9682-08dc36421bc5
Rawaf Mina Company for Pilgrimage Services,RAWAF VOCO 204,32980.94,15,2024-06-09,2024-06-24,Premium,Zone C,AlMuaisim Camp,120,117,2024-02-20T12:14:01.6705683,3,46,https://hajj.nusuk.sa/sp/package/summary/bc770000-56b2-0050-dc7c-08dc320d6c89
Rawaf Mina Company for Pilgrimage Services,RAWAF VOCO 366,32980.94,18,2024-06-02,2024-06-20,Standard,Zone C,AlMuaisim Camp,76,75,2024-02-26T20:14:35.0855051,1,76,https://hajj.nusuk.sa/sp/package/summary/442e0000-56b2-0050-5373-08dc37078d12
Rawaf Mina Company for Pilgrimage Services,RAWAF VOCO 369 Special Offer,32980.94,19,2024-06-07,2024-06-26,Standard,Zone C,AlMuaisim Camp,188,184,2024-02-26T21:15:14.3132934,4,50,https://hajj.nusuk.sa/sp/package/summary/ac3e0000-56b2-0050-6af0-08dc37100638
SEERA GROUP HOLDING,MAW Elite SEA 1,33000.0,17,2024-06-09,2024-06-26,Luxury - Shifting,Zone A,AlMuaisim Camp,112,111,2024-02-08T16:08:34.8215549,1,112,https://hajj.nusuk.sa/sp/package/summary/985c0000-56b2-0050-48e4-08dc28c033d5
SEERA GROUP HOLDING,MAW Elite SEA 10,33000.0,17,2024-06-09,2024-06-26,Luxury - Shifting,Zone A,AlMuaisim Camp,40,39,2024-02-13T10:20:49.7489646,1,40,https://hajj.nusuk.sa/sp/package/summary/cc370000-56b2-0050-9ec9-08dc2c7d7358
SEERA GROUP HOLDING,MAW Elite SEA 100,33000.0,17,2024-06-09,2024-06-26,Luxury - Shifting,Zone A,AlMuaisim Camp,60,59,2024-02-13T14:09:52.3524245,1,60,https://hajj.nusuk.sa/sp/package/summary/64250000-56b2-0050-7e81-08dc2c9d7293
MCDC For Hajj And Umrah servises,MCDC3010JN,33061.6,16,2024-06-10,2024-06-26,Standard,Zone A,AlMuaisim Camp,48,47,2024-02-17T18:30:02.6991605,1,48,https://hajj.nusuk.sa/sp/package/summary/ec530000-56b2-0050-5fe9-08dc2fe674b8
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,Luxury Shifting Line 1,33120.0,17,2024-06-07,2024-06-24,Luxury - Shifting,Zone A,AlMuaisim Camp,279,273,2024-02-14T03:18:19.3110994,6,48,https://hajj.nusuk.sa/sp/package/summary/602f0000-56b2-0050-87c6-08dc2d0b97b8
SEERA GROUP HOLDING,MAW Elite SEA 2,33500.0,23,2024-06-10,2024-07-03,Luxury - Shifting,Zone A,AlMuaisim Camp,112,111,2024-02-11T13:08:10.2690087,1,112,https://hajj.nusuk.sa/sp/package/summary/d4810000-56b2-0050-e525-08dc2b027f22
SEERA GROUP HOLDING,MAW Elite SEA 20,33500.0,23,2024-06-10,2024-07-03,Luxury - Shifting,Zone A,AlMuaisim Camp,60,59,2024-02-13T14:34:20.2780285,1,60,https://hajj.nusuk.sa/sp/package/summary/74690000-56b2-0050-2a67-08dc2ca0dd87
SEERA GROUP HOLDING,MAW Elite SEA 200,33500.0,23,2024-06-10,2024-07-03,Luxury - Shifting,Zone A,AlMuaisim Camp,40,39,2024-02-13T15:27:02.0941078,1,40,https://hajj.nusuk.sa/sp/package/summary/64250000-56b2-0050-030f-08dc2ca83a1e
Ithraa alkhair for pilgrims services,Ithraa Al Khair 14,33589.07,20,2024-06-07,2024-06-27,Luxury - Shifting,None,AlMuaisim Camp,100,98,2024-02-10T13:36:35.1281897,2,50,https://hajj.nusuk.sa/sp/package/summary/c4aa0000-56b2-0050-02d9-08dc2a3d4ce6
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,2Luxury shifting line 1,33694.71,17,2024-06-07,2024-06-24,Luxury - Shifting,Zone A,AlMuaisim Camp,105,102,2024-02-24T17:43:30.6611576,3,48,https://hajj.nusuk.sa/sp/package/summary/688b0000-56b2-0050-6f6a-08dc35601d6d
MCDC For Hajj And Umrah servises,MCDC1057HJ,33830.43,14,2024-06-09,2024-06-23,Standard,Zone A,AlMuaisim Camp,8,7,2024-02-17T00:49:24.7269668,1,8,https://hajj.nusuk.sa/sp/package/summary/f8660000-56b2-0050-6f0a-08dc2f524988
MCDC For Hajj And Umrah servises,MCDC1060HJ,33830.43,14,2024-06-09,2024-06-23,Standard,Zone A,AlMuaisim Camp,44,43,2024-02-17T01:10:51.0648027,1,44,https://hajj.nusuk.sa/sp/package/summary/48180000-56b2-0050-02ba-08dc2f554840
MCDC For Hajj And Umrah servises,MCDC1061HJ,33830.43,14,2024-06-09,2024-06-23,Standard,Zone A,AlMuaisim Camp,48,47,2024-02-17T01:21:17.8495474,1,48,https://hajj.nusuk.sa/sp/package/summary/80650000-56b2-0050-c5ea-08dc2f56bdd7
MCDC For Hajj And Umrah servises,MCDC1152UK,33871.19,14,2024-06-07,2024-06-21,Luxury,Zone A,AlMuaisim Camp,48,47,2024-02-18T13:23:34.4666625,1,48,https://hajj.nusuk.sa/sp/package/summary/8c210000-56b2-0050-83fe-08dc3084cee4
Al Bait Guests for Pilgrims Services,A14200 Luxury Shifting Extended,33912.04,21,2024-06-01,2024-06-22,Luxury - Shifting,Zone A,AlMuaisim Camp,90,88,2024-02-27T00:52:18.2048295,2,50,https://hajj.nusuk.sa/sp/package/summary/383b0000-56b2-0050-8e11-08dc372e5910
Al Bait Guests for Pilgrims Services,D7000 Luxury Shifting Extended,33949.79,16,2024-06-10,2024-06-26,Premium - Shifting,Zone A,AlMuaisim Camp,140,136,2024-02-19T18:01:41.3775354,4,46,https://hajj.nusuk.sa/sp/package/summary/08140000-56b2-0050-cbe3-08dc3174d37a
Al Bait Guests for Pilgrims Services,A15000 Luxury Shifting Extended,33950.07,24,2024-06-10,2024-07-04,Luxury - Shifting,Zone A,AlMuaisim Camp,240,235,2024-02-26T23:14:28.5516061,5,50,https://hajj.nusuk.sa/sp/package/summary/c4430000-56b2-0050-8cfe-08dc3720ae7a
Al Bait Guests for Pilgrims Services,B6000 Premium Shifting Extended,33950.07,22,2024-06-10,2024-07-02,Premium - Shifting,Zone A,AlMuaisim Camp,320,313,2024-02-18T16:04:03.6440248,7,46,https://hajj.nusuk.sa/sp/package/summary/bc950000-56b2-0050-60a8-08dc309b3a54
MCDC For Hajj And Umrah servises,MCDC6000LAB,33951.27,13,2024-06-10,2024-06-23,Luxury,Zone A,AlMuaisim Camp,48,47,2024-02-16T16:15:00.9701624,1,48,https://hajj.nusuk.sa/sp/package/summary/7c220000-56b2-0050-e2f4-08dc2f0a6d4c
Al Bait Guests for Pilgrims Services,B1000 Premium Shifting Extended,33954.09,22,2024-05-29,2024-06-20,Premium - Shifting,Zone A,AlMuaisim Camp,320,313,2024-02-22T19:17:00.5279577,7,46,https://hajj.nusuk.sa/sp/package/summary/b07d0000-56b2-0050-ad2e-08dc33dad857
Al Bait Guests for Pilgrims Services,B8000 Premium Shifting Extended,33954.09,23,2024-05-29,2024-06-21,Premium - Shifting,Zone A,AlMuaisim Camp,320,313,2024-02-15T17:19:04.8150534,7,46,https://hajj.nusuk.sa/sp/package/summary/98060000-56b2-0050-5203-08dc2e4a35ff
SEERA GROUP HOLDING,MAW HSR Gold 01,34000.0,14,2024-06-07,2024-06-21,Luxury,None,AlMuaisim Camp,140,137,2024-02-14T18:31:26.6270938,3,50,https://hajj.nusuk.sa/sp/package/summary/64490000-56b2-0050-82ca-08dc2d8b2781
MCDC For Hajj And Umrah servises,MCDC1001OM,34171.84,16,2024-06-08,2024-06-24,Standard,Zone A,AlMuaisim Camp,48,47,2024-02-13T01:38:20.0259105,1,48,https://hajj.nusuk.sa/sp/package/summary/7c6d0000-56b2-0050-8218-08dc2c347574
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,Luxury Shifting Line 5,34387.56,22,2024-06-02,2024-06-24,Luxury - Shifting,Zone A,AlMuaisim Camp,28,27,2024-02-14T14:02:49.4688366,1,28,https://hajj.nusuk.sa/sp/package/summary/28940000-56b2-0050-5451-08dc2d65a0ee
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,2 Luxury shifting Line 4,34387.57,22,2024-06-02,2024-06-24,Luxury - Shifting,Zone A,AlMuaisim Camp,146,143,2024-02-28T19:42:40.8278522,3,49,https://hajj.nusuk.sa/sp/package/summary/70040000-56b2-0050-49e5-08dc38956ce9
MCDC For Hajj And Umrah servises,MCDC9002JN,34429.12,21,2024-06-02,2024-06-23,Luxury - Shifting,Zone A,AlMuaisim Camp,16,15,2024-02-24T14:56:38.6363384,1,16,https://hajj.nusuk.sa/sp/package/summary/60d20000-56b2-0050-afd7-08dc3548cdcb
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,Luxury Shifting Line 7,34473.53,23,2024-06-09,2024-07-02,Luxury - Shifting,Zone A,AlMuaisim Camp,311,305,2024-02-14T14:19:46.8979921,6,52,https://hajj.nusuk.sa/sp/package/summary/28940000-56b2-0050-b2be-08dc2d67ff5d
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,Luxury Shifting Line 4,34550.82,22,2024-06-02,2024-06-24,Luxury - Shifting,Zone A,AlMuaisim Camp,94,92,2024-02-21T00:58:54.1964,2,48,https://hajj.nusuk.sa/sp/package/summary/f0420000-56b2-0050-92c4-08dc3278469d
MCDC For Hajj And Umrah servises,MCDC9003JN,34875.2,14,2024-06-07,2024-06-21,Luxury - Shifting,Zone A,AlMuaisim Camp,264,259,2024-02-17T21:28:35.0151972,5,53,https://hajj.nusuk.sa/sp/package/summary/1c860000-56b2-0050-1523-08dc2fff65c2
Al Bait Guests for Pilgrims Services,A5000 Luxury Shifting Extended,34950.06,15,2024-06-12,2024-06-27,Luxury - Shifting,Zone A,AlMuaisim Camp,240,234,2024-02-27T00:17:58.2868171,6,42,https://hajj.nusuk.sa/sp/package/summary/c4430000-56b2-0050-02b4-08dc37298d42
Al Bait Guests for Pilgrims Services,A1000 Luxury Shifting Extended,34950.08,24,2024-05-29,2024-06-22,Luxury - Shifting,Zone A,AlMuaisim Camp,240,234,2024-02-21T13:07:44.6245565,6,46,https://hajj.nusuk.sa/sp/package/summary/9c650000-56b2-0050-5cab-08dc32de17fb
Al Bait Guests for Pilgrims Services,D4000 Luxury Shifting Extended,34954.11,16,2024-06-10,2024-06-26,Luxury - Shifting,Zone A,AlMuaisim Camp,380,372,2024-02-15T13:12:41.7915348,8,50,https://hajj.nusuk.sa/sp/package/summary/24370000-56b2-0050-f1c2-08dc2e27caa0
MCDC For Hajj And Umrah servises,MCDC1058HJ,34958.57,23,2024-06-05,2024-06-28,Standard,Zone A,AlMuaisim Camp,44,43,2024-02-17T00:58:35.6956483,1,44,https://hajj.nusuk.sa/sp/package/summary/f8660000-56b2-0050-9529-08dc2f5391ef
MCDC For Hajj And Umrah servises,MCDC1075HJ,35098.89,21,2024-06-03,2024-06-24,Luxury - Shifting,Zone A,AlMuaisim Camp,52,51,2024-02-17T12:20:08.5503513,1,52,https://hajj.nusuk.sa/sp/package/summary/380c0000-56b2-0050-05fd-08dc2fb2c7fa
Ithraa alkhair for pilgrims services,Ithraa Al Khair 13,35174.15,20,2024-06-07,2024-06-27,Luxury - Shifting,None,AlMuaisim Camp,300,294,2024-02-10T13:21:16.2565407,6,50,https://hajj.nusuk.sa/sp/package/summary/f0750000-56b2-0050-5312-08dc2a3b2935
Ithraa alkhair for pilgrims services,Ithraa Al Khair 36,35214.01,14,2024-06-09,2024-06-23,Premium,Zone C,AlMuaisim Camp,232,227,2024-02-10T14:06:36.9492868,5,50,https://hajj.nusuk.sa/sp/package/summary/087f0000-56b2-0050-1775-08dc2a417ede
Ithraa alkhair for pilgrims services,Ithraa Al Khair 39,35260.25,19,2024-06-08,2024-06-27,Premium,Zone C,AlMuaisim Camp,232,227,2024-02-10T14:03:24.7421384,5,48,https://hajj.nusuk.sa/sp/package/summary/548a0000-56b2-0050-9bb6-08dc2a410c4d
Al Burj International Company,Al Burj Luxury Package FRLOS24,35380.98,22,2024-06-09,2024-07-01,Luxury - Shifting,Zone A,AlMuaisim Camp,450,440,2024-02-21T13:36:29.760775,10,45,https://hajj.nusuk.sa/sp/package/summary/5c830000-56b2-0050-4237-08dc32e21c3e
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,2 Luxury Shifting Line 2,35518.2,23,2024-05-28,2024-06-20,Luxury - Shifting,Zone A,AlMuaisim Camp,36,35,2024-02-20T20:11:30.1241453,1,36,https://hajj.nusuk.sa/sp/package/summary/645f0000-56b2-0050-f66b-08dc32502058
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,Luxury shifting Line 2,35518.2,23,2024-05-28,2024-06-20,Luxury - Shifting,Zone A,AlMuaisim Camp,144,141,2024-02-14T12:40:52.6807973,3,48,https://hajj.nusuk.sa/sp/package/summary/446e0000-56b2-0050-0390-08dc2d5a2e4c
Ithraa alkhair for pilgrims services,Ithraa Al Khair 55,35635.19,20,2024-06-07,2024-06-27,Premium,Zone C,AlMuaisim Camp,232,228,2024-02-10T13:58:52.220347,4,70,https://hajj.nusuk.sa/sp/package/summary/781e0000-56b2-0050-1531-08dc2a4069de
Rawaf Mina Company for Pilgrimage Services,RAWAF HOLIDAY 371,35635.19,18,2024-06-07,2024-06-25,Standard,None,Majar AlKabsh Camp,40,39,2024-02-27T13:42:01.9821872,1,40,https://hajj.nusuk.sa/sp/package/summary/8c120000-56b2-0050-b920-08dc3799e0bd
MCDC For Hajj And Umrah servises,MCDC1055HJ,35658.7,19,2024-06-02,2024-06-21,Luxury,Zone A,AlMuaisim Camp,52,51,2024-02-17T11:20:42.4616629,1,52,https://hajj.nusuk.sa/sp/package/summary/4c5d0000-56b2-0050-1298-08dc2faa7a6c
MCDC For Hajj And Umrah servises,MCDC1050HJ,35697.84,16,2024-06-07,2024-06-23,Luxury,Zone A,AlMuaisim Camp,52,51,2024-02-09T12:27:26.4693481,1,52,https://hajj.nusuk.sa/sp/package/summary/ec910000-56b2-0050-28d8-08dc296a79b1
Ithraa alkhair for pilgrims services,Ithraa Al Khair 02,35744.87,23,2024-06-09,2024-07-02,Luxury - Shifting,Zone A,AlMuaisim Camp,98,96,2024-02-10T13:15:21.7334832,2,49,https://hajj.nusuk.sa/sp/package/summary/f0750000-56b2-0050-6625-08dc2a3a55e5
SEERA GROUP HOLDING,MAW Elite MAH 001,35750.0,19,2024-06-07,2024-06-26,Luxury - Shifting,Zone A,AlMuaisim Camp,92,89,2024-02-14T17:41:50.6792081,3,40,https://hajj.nusuk.sa/sp/package/summary/68500000-56b2-0050-e68f-08dc2d8439b3
Ithraa alkhair for pilgrims services,ITHRAA AL KHIR 54,35766.04,15,2024-06-10,2024-06-25,Standard,Zone C,AlMuaisim Camp,208,204,2024-02-28T18:21:08.5000951,4,60,https://hajj.nusuk.sa/sp/package/summary/28460000-56b2-0050-50e6-08dc388a08db
Ithraa alkhair for pilgrims services,Ithraa Al Khair 01,35829.67,18,2024-06-09,2024-06-27,Luxury - Shifting,Zone A,AlMuaisim Camp,188,184,2024-02-10T13:09:20.0520968,4,48,https://hajj.nusuk.sa/sp/package/summary/c46c0000-56b2-0050-3303-08dc2a397e51
Ithraa alkhair for pilgrims services,Ithraa Al Khair 57,35945.49,23,2024-06-02,2024-06-25,Luxury - Shifting,Zone A,AlMuaisim Camp,98,96,2024-02-15T16:23:25.0257817,2,50,https://hajj.nusuk.sa/sp/package/summary/cc470000-56b2-0050-eb7e-08dc2e426f53
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,2Luxury shifting Line 7,35948.12,23,2024-06-09,2024-07-02,Luxury - Shifting,Zone A,AlMuaisim Camp,186,182,2024-02-24T18:15:37.3162694,4,48,https://hajj.nusuk.sa/sp/package/summary/a86c0000-56b2-0050-acaa-08dc356499cd
Al Bait Guests for Pilgrims Services,B3000 Premium Non Shifting Classic,35950.06,15,2024-06-06,2024-06-21,Premium,Zone A,AlMuaisim Camp,141,138,2024-02-15T17:09:45.6904154,3,47,https://hajj.nusuk.sa/sp/package/summary/f0520000-56b2-0050-abd8-08dc2e48e8bb
Al Bait Guests for Pilgrims Services,B4000 Premium Non Shifting Classic,35950.06,14,2024-06-10,2024-06-24,Premium,Zone A,AlMuaisim Camp,94,92,2024-02-25T18:51:47.1789286,2,47,https://hajj.nusuk.sa/sp/package/summary/b8190000-56b2-0050-30d5-08dc3632d18e
Dur Hospitality company,Dur Luxury 3,35988.58,14,2024-06-07,2024-06-21,Luxury,None,Majar AlKabsh Camp,335,328,2024-02-12T09:12:07.1691179,7,49,https://hajj.nusuk.sa/sp/package/summary/cc630000-56b2-0050-1ba2-08dc2baaafaf
Ithraa alkhair for pilgrims services,Ithraa Al Khair 05,35989.74,23,2024-06-02,2024-06-25,Luxury - Shifting,Zone A,AlMuaisim Camp,196,192,2024-02-10T13:33:10.9221886,4,49,https://hajj.nusuk.sa/sp/package/summary/f0750000-56b2-0050-a5f4-08dc2a3cd32e
Ithraa alkhair for pilgrims services,Ithraa Al Khair 04,36022.76,24,2024-05-27,2024-06-20,Luxury - Shifting,Zone A,AlMuaisim Camp,396,388,2024-02-10T13:30:27.7060256,8,50,https://hajj.nusuk.sa/sp/package/summary/c4aa0000-56b2-0050-d68a-08dc2a3c71e5
Ithraa alkhair for pilgrims services,Ithraa Al Khair 37,36127.39,21,2024-06-02,2024-06-23,Premium,Zone C,Majar AlKabsh Camp,112,110,2024-02-10T14:09:29.567127,2,60,https://hajj.nusuk.sa/sp/package/summary/087f0000-56b2-0050-7bd6-08dc2a41e5c1
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,2Luxury Line 2,36164.81,13,2024-06-10,2024-06-23,Luxury,Zone A,AlMuaisim Camp,35,34,2024-02-24T20:17:30.124202,1,35,https://hajj.nusuk.sa/sp/package/summary/782e0000-56b2-0050-9c8e-08dc3575a093
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,Luxury Line 2,36164.81,13,2024-06-10,2024-06-23,Luxury,Zone A,AlMuaisim Camp,301,295,2024-02-23T00:51:20.374804,6,52,https://hajj.nusuk.sa/sp/package/summary/98690000-56b2-0050-64b3-08dc34098cf1
Ithraa alkhair for pilgrims services,Ithraa Al Khair 06,36212.18,23,2024-06-09,2024-07-02,Luxury - Shifting,Zone A,AlMuaisim Camp,98,96,2024-02-10T13:37:35.5131165,2,49,https://hajj.nusuk.sa/sp/package/summary/d4810000-56b2-0050-051a-08dc2a3d70e4
Ithraa alkhair for pilgrims services,ITHRAA AL KHIR 65,36214.65,20,2024-06-02,2024-06-22,Premium,Zone C,AlMuaisim Camp,28,27,2024-02-23T10:24:14.9991588,1,28,https://hajj.nusuk.sa/sp/package/summary/58470000-56b2-0050-d09f-08dc345995d0
Ithraa alkhair for pilgrims services,Ithraa Al Khair 35,36214.65,20,2024-06-02,2024-06-22,Premium,Zone C,AlMuaisim Camp,148,145,2024-02-10T13:24:03.4316668,3,50,https://hajj.nusuk.sa/sp/package/summary/548a0000-56b2-0050-3959-08dc2a3b8cda
Ithraa alkhair for pilgrims services,Ithraa Al Khair 08,36250.19,25,2024-05-26,2024-06-20,Luxury - Shifting,Zone A,AlMuaisim Camp,94,92,2024-02-10T13:41:33.8337296,2,50,https://hajj.nusuk.sa/sp/package/summary/20190000-56b2-0050-dc09-08dc2a3dfef0
